email,label
billing2480@service.com,normal
casino9804@net.in,spam
crypto4333@info.org,spam
claim1683@securemail.net,spam
bet954@org.in,spam
sales8323@gov.in,normal
credit4715@company.in,spam
service3710@edu.in,normal
noreply5041@net.in,normal
prize2029@rediffmail.com,spam
offer2734@gov.in,spam
school4037@net.in,normal
accounts6124@company.in,normal
accounts7406@yahoo.in,normal
crypto9013@rediffmail.com,spam
team1648@edu.in,normal
urgent4717@gov.in,spam
billing8727@org.in,normal
university9231@net.in,normal
service4993@company.in,normal
university2236@org.in,normal
winbig853@shop.in,spam
prize8168@rediffmail.com,spam
team9066@rediffmail.com,normal
casino3681@company.in,spam
newsletter1160@rediffmail.com,normal
deal2771@yahoo.in,spam
helpdesk9366@business.co,normal
order438@business.co,normal
team775@mail.org,normal
claim5014@org.in,spam
lottery5566@net.in,spam
earn1769@gmail.com,spam
claim4302@securemail.net,spam
office1280@company.in,normal
crypto8386@mail.org,spam
helpdesk2307@org.in,normal
cash3536@service.com,spam
loan3155@mail.org,spam
admin5646@edu.in,normal
info2834@outlook.com,normal
bet499@info.org,spam
admin5576@company.in,normal
discount5139@gmail.com,spam
sales3784@outlook.com,normal
urgent2839@company.in,spam
click677@mail.org,spam
jackpot5572@company.in,spam
casino3211@info.org,spam
urgent8885@service.com,spam
winbig3966@mail.org,spam
admin9960@mail.org,normal
casino7070@org.in,spam
updates8797@outlook.com,normal
casino8334@info.org,spam
billing6932@mail.org,normal
verify4597@business.co,spam
updates9678@yahoo.in,normal
winbig1374@service.com,spam
bonus7605@outlook.com,spam
bonus2898@mail.org,spam
accounts2687@securemail.net,normal
sales9959@shop.in,normal
earn2967@business.co,spam
deal8542@org.in,spam
team5324@mail.org,normal
free1691@rediffmail.com,spam
info9346@company.in,normal
noreply1158@org.in,normal
bonus904@service.com,spam
tech4039@info.org,normal
casino1556@org.in,spam
urgent2305@org.in,spam
free1120@outlook.com,spam
lottery4702@securemail.net,spam
tech5780@org.in,normal
btc8586@business.co,spam
newsletter4825@rediffmail.com,normal
customer7351@info.org,normal
reward8352@fastmail.co,spam
billing5293@gov.in,normal
crypto6407@fastmail.co,spam
hr7672@shop.in,normal
cash4713@yahoo.in,spam
office6465@shop.in,normal
bet580@fastmail.co,spam
loan5008@fastmail.co,spam
winner85@securemail.net,spam
admin1390@gmail.com,normal
sales7072@fastmail.co,normal
admin1046@yahoo.in,normal
contact3850@edu.in,normal
noreply7308@shop.in,normal
reward2868@edu.in,spam
earn1939@service.com,spam
bonus2194@rediffmail.com,spam
service7921@info.org,normal
billing2869@gmail.com,normal
order5005@net.in,normal
info5931@info.org,normal
gift6346@info.org,spam
careers8191@gov.in,normal
credit7499@mail.org,spam
info2085@edu.in,normal
billing4454@net.in,normal
offer9388@service.com,spam
bonus4391@edu.in,spam
university4617@shop.in,normal
newsletter1499@fastmail.co,normal
offer6481@gov.in,spam
service1482@net.in,normal
billing9892@service.com,normal
btc8104@business.co,spam
reward215@service.com,spam
sales7551@rediffmail.com,normal
gift948@yahoo.in,spam
admin8467@gmail.com,normal
deal6510@info.org,spam
jackpot4871@securemail.net,spam
claim4500@gmail.com,spam
hr3274@edu.in,normal
deal5182@rediffmail.com,spam
service6627@rediffmail.com,normal
hr1903@yahoo.in,normal
verify7290@gov.in,spam
deal6422@info.org,spam
winner1258@org.in,spam
winner4645@gmail.com,spam
customer9050@company.in,normal
bonus8700@gov.in,spam
office3263@outlook.com,normal
loan8692@shop.in,spam
jackpot3027@service.com,spam
university9904@company.in,normal
noreply8873@info.org,normal
school7521@gmail.com,normal
credit8187@service.com,spam
info5075@rediffmail.com,normal
bonus2833@outlook.com,spam
customer8788@net.in,normal
verify6040@mail.org,spam
admin8965@securemail.net,normal
service7293@net.in,normal
gift7534@org.in,spam
support2830@yahoo.in,normal
admin8765@service.com,normal
school926@mail.org,normal
reward9039@shop.in,spam
urgent1614@business.co,spam
discount3793@business.co,spam
accounts3820@outlook.com,normal
accounts4355@edu.in,normal
verify3606@securemail.net,spam
order9927@mail.org,normal
newsletter5764@shop.in,normal
helpdesk3307@fastmail.co,normal
noreply7701@rediffmail.com,normal
promo1953@securemail.net,spam
school3637@fastmail.co,normal
loan8720@outlook.com,spam
winner2666@org.in,spam
offer6514@yahoo.in,spam
service658@securemail.net,normal
jackpot6329@fastmail.co,spam
promo2496@service.com,spam
free2835@securemail.net,spam
hr1116@org.in,normal
info6533@fastmail.co,normal
billing5222@gmail.com,normal
winner7062@business.co,spam
jackpot1446@info.org,spam
accounts62@yahoo.in,normal
tech7890@business.co,normal
team8868@info.org,normal
verify2277@yahoo.in,spam
jackpot5265@outlook.com,spam
claim5112@net.in,spam
office4495@org.in,normal
prize4423@company.in,spam
billing9825@org.in,normal
updates8513@gov.in,normal
claim2800@shop.in,spam
accounts7118@yahoo.in,normal
bonus9127@securemail.net,spam
billing4332@shop.in,normal
accounts6162@outlook.com,normal
click75@org.in,spam
billing8622@service.com,normal
cash2873@securemail.net,spam
gift7460@company.in,spam
support2089@rediffmail.com,normal
casino7422@service.com,spam
jackpot5605@net.in,spam
click2249@company.in,spam
admin3806@rediffmail.com,normal
verify7031@securemail.net,spam
credit859@rediffmail.com,spam
click9175@shop.in,spam
click9447@service.com,spam
claim9606@mail.org,spam
admin5019@shop.in,normal
admin2167@service.com,normal
discount9722@mail.org,spam
offer4764@yahoo.in,spam
sales594@rediffmail.com,normal
urgent1579@gmail.com,spam
team1967@company.in,normal
lottery3660@rediffmail.com,spam
newsletter8225@gov.in,normal
prize5121@edu.in,spam
prize7016@info.org,spam
newsletter5881@outlook.com,normal
