number,label
9436177679,normal
6766860350,spam
8336182501,normal
8861303947,normal
9777779898,spam
7988989787,spam
6686451798,normal
8888888888,spam
6516319972,normal
8209956680,normal
9999999999,spam
9743636144,normal
8888888888,spam
9887787778,spam
6562207134,normal
6227980341,normal
9112200238,normal
9218266167,normal
9899997989,spam
9530140271,normal
7881627983,normal
9788788799,spam
8450043162,normal
9991279772,normal
9998779798,spam
6223706627,normal
7530462952,normal
7942505403,normal
9799797879,spam
7858683986,normal
8888888888,spam
9047745093,normal
7789878977,spam
7963585635,normal
6204116474,normal
6164308171,spam
9999999999,spam
7063359507,normal
7977997889,spam
8997997989,spam
1533947868,spam
9054539634,spam
7379790922,normal
9978779779,spam
6405210178,normal
6891692580,normal
9081036017,normal
9387158144,normal
8568178326,spam
9999999999,spam
8389546792,normal
7447019836,spam
7139215573,normal
7540004239,normal
9880353536,normal
6977554827,spam
6447550320,normal
7584560315,normal
8888888888,spam
9798888879,spam
8888888888,spam
8467676650,normal
9778879777,spam
7470141563,normal
8888888888,spam
9888878899,spam
8799799877,spam
9999999999,spam
8888888888,spam
7286851528,spam
9167678652,normal
9838711878,normal
8888888888,spam
8888888888,spam
9797797788,spam
7516660265,normal
8888888888,spam
8799045994,normal
9897899789,spam
9798977887,spam
9880494643,normal
9987988978,spam
8997899779,spam
7390383412,normal
8579546879,normal
9999999999,spam
9777898997,spam
8522477133,normal
6652123109,normal
9999999999,spam
7835125752,spam
6840459169,normal
7905307859,normal
9879989987,spam
6995658596,normal
7587896594,normal
8798799978,spam
7728622746,normal
6286222700,normal
6245892955,normal
8888888888,spam
9211112783,normal
9988787878,spam
8888888888,spam
7455425059,normal
7365342481,normal
8667828630,normal
7515614830,normal
6311401688,normal
8700609429,normal
7293497036,normal
8060468440,spam
8888888888,spam
6696200558,spam
9888998889,spam
9667151128,normal
8888888888,spam
7351874638,normal
6230952620,normal
6794489361,spam
8899898887,spam
8491041093,normal
9999999999,spam
6359514114,normal
9999999999,spam
8694982224,normal
7123493845,normal
9988888999,spam
9229662275,normal
7708640365,normal
7899778797,spam
8967248946,normal
9777979797,spam
9999999999,spam
7011140456,normal
9999999999,spam
7879997899,spam
8888888888,spam
9486322195,spam
9899777798,spam
7998799987,spam
8467799001,normal
8997878987,spam
8327405756,normal
7283572789,normal
8370151662,spam
6662202668,normal
9879887879,spam
7249638796,normal
9779988988,spam
6393832265,normal
8888888888,spam
6901524169,normal
7988989897,spam
8787631657,normal
8888888888,spam
6860213369,spam
8888888888,spam
8799789787,spam
6573303353,normal
9881551739,normal
8888888888,spam
7423851404,normal
9999999999,spam
9897997899,spam
7772221473,normal
8888888888,spam
7556939950,normal
7095642247,normal
6947544185,normal
6142713486,normal
6656190680,spam
8914489101,normal
9732474472,normal
7440525576,spam
8050297807,normal
9999999999,spam
8500600455,normal
9999788877,spam
9979997879,spam
7311294841,spam
9159329130,normal
6015329261,normal
9052428250,normal
9887787888,spam
8922342077,normal
7887977788,spam
8625980969,normal
9614922241,normal
9395577571,spam
9999999999,spam
9999999999,spam
9999999999,spam
9787878788,spam
6067779757,normal
8000309824,normal
6892820568,normal
8003570290,normal
8888888888,spam
7363357429,normal
9249135946,spam
9805099862,normal
8795678945,normal
3012549265,spam
8152798494,normal
7895679103,normal
8888888888,spam
9999999999,spam
9999999999,spam
7686357452,normal
8888888888,spam
7997798997,spam
9777998897,spam
9789989888,spam
6269459392,spam
8888888888,spam
9999999999,spam
7303543375,spam
8459604501,normal
6328778134,normal
9656117789,normal
7249197979,normal
7367847093,normal
9684633057,spam
8888888888,spam
8888888888,spam
6902940753,normal
7809601227,normal
6385062543,normal
9999999999,spam
9804291662,spam
7598400204,normal
9888877899,spam
6615563853,spam
8821466081,normal
8888888888,spam
8668120413,normal
9999999999,spam
8236568987,normal
9969148331,normal
7788987979,spam
8465212245,normal
6975976360,normal
9999999999,spam
8888888888,spam
9156199131,normal
8463284898,normal
9999999999,spam
8089603047,normal
8069504638,normal
7423866375,normal
7455517651,normal
7832352316,normal
8225281612,normal
9999999999,spam
6056385482,normal
7304862713,normal
5861785799,spam
9878899798,spam
7026736551,normal
6658001613,normal
9999999999,spam
9999999999,spam
9733492672,normal
4084471095,spam
9202139685,normal
9999999999,spam
6553995864,normal
9999999999,spam
9979978798,spam
9479981851,spam
9450827602,spam
9480235559,normal
8953040693,normal
9999999999,spam
8888888888,spam
9828467302,normal
7943551001,normal
8986766044,normal
7443496017,normal
6768528578,normal
8156709244,normal
8888888888,spam
9888799888,spam
8867195648,normal
9999999999,spam
7720789197,normal
8612633766,normal
6295842467,normal
8888888888,spam
7056156824,spam
7588964492,normal
6038884117,normal
8774010164,normal
9878777878,spam
9677774002,spam
9820091204,normal
7086983080,normal
9999798877,spam
9894370762,normal
8469903602,normal
7221216370,normal
9897789888,spam
9074765189,normal
8888888888,spam
9979989887,spam
9977977889,spam
7002171431,normal
8876685984,spam
9631014823,normal
8588586475,spam
